periodo,valor
Ene.2010,1.25
Feb.2010,1.25
Mar.2010,1.25
Abr.2010,1.25
May.2010,1.5
Jun.2010,1.75
Jul.2010,2
Ago.2010,2.5
Sep.2010,3
Oct.2010,3
Nov.2010,3
Dic.2010,3
Ene.2011,3.25
Feb.2011,3.5
Mar.2011,3.75
Abr.2011,4
May.2011,4.25
Jun.2011,4.25
Jul.2011,4.25
Ago.2011,4.25
Sep.2011,4.25
Oct.2011,4.25
Nov.2011,4.25
Dic.2011,4.25
Ene.2012,4.25
Feb.2012,4.25
Mar.2012,4.25
Abr.2012,4.25
May.2012,4.25
Jun.2012,4.25
Jul.2012,4.25
Ago.2012,4.25
Sep.2012,4.25
Oct.2012,4.25
Nov.2012,4.25
Dic.2012,4.25
Ene.2013,4.25
Feb.2013,4.25
Mar.2013,4.25
Abr.2013,4.25
May.2013,4.25
Jun.2013,4.25
Jul.2013,4.25
Ago.2013,4.25
Sep.2013,4.25
Oct.2013,4.25
Nov.2013,4
Dic.2013,4
Ene.2014,4
Feb.2014,4
Mar.2014,4
Abr.2014,4
May.2014,4
Jun.2014,4
Jul.2014,3.75
Ago.2014,3.75
Sep.2014,3.5
Oct.2014,3.5
Nov.2014,3.5
Dic.2014,3.5
Ene.2015,3.25
Feb.2015,3.25
Mar.2015,3.25
Abr.2015,3.25
May.2015,3.25
Jun.2015,3.25
Jul.2015,3.25
Ago.2015,3.25
Sep.2015,3.5
Oct.2015,3.5
Nov.2015,3.5
Dic.2015,3.75
Ene.2016,4
Feb.2016,4.25
Mar.2016,4.25
Abr.2016,4.25
May.2016,4.25
Jun.2016,4.25
Jul.2016,4.25
Ago.2016,4.25
Sep.2016,4.25
Oct.2016,4.25
Nov.2016,4.25
Dic.2016,4.25
Ene.2017,4.25
Feb.2017,4.25
Mar.2017,4.25
Abr.2017,4.25
May.2017,4
Jun.2017,4
Jul.2017,3.75
Ago.2017,3.75
Sep.2017,3.5
Oct.2017,3.5
Nov.2017,3.25
Dic.2017,3.25
Ene.2018,3
Feb.2018,3
Mar.2018,2.75
Abr.2018,2.75
May.2018,2.75
Jun.2018,2.75
Jul.2018,2.75
Ago.2018,2.75
Sep.2018,2.75
Oct.2018,2.75
Nov.2018,2.75
Dic.2018,2.75
Ene.2019,2.75
Feb.2019,2.75
Mar.2019,2.75
Abr.2019,2.75
May.2019,2.75
Jun.2019,2.75
Jul.2019,2.75
Ago.2019,2.5
Sep.2019,2.5
Oct.2019,2.5
Nov.2019,2.25
Dic.2019,2.25
Ene.2020,2.25
Feb.2020,2.25
Mar.2020,1.25
Abr.2020,0.25
May.2020,0.25
Jun.2020,0.25
Jul.2020,0.25
Ago.2020,0.25
Sep.2020,0.25
Oct.2020,0.25
Nov.2020,0.25
Dic.2020,0.25
Ene.2021,0.25
Feb.2021,0.25
Mar.2021,0.25
Abr.2021,0.25
May.2021,0.25
Jun.2021,0.25
Jul.2021,0.25
Ago.2021,0.5
Sep.2021,1
Oct.2021,1.5
Nov.2021,2
Dic.2021,2.5
Ene.2022,3
Feb.2022,3.5
Mar.2022,4
Abr.2022,4.5
May.2022,5
Jun.2022,5.5
Jul.2022,6
Ago.2022,6.5
Sep.2022,6.75
Oct.2022,7
Nov.2022,7.25
Dic.2022,7.5
Ene.2023,7.75
Feb.2023,7.75
Mar.2023,7.75
Abr.2023,7.75
May.2023,7.75
Jun.2023,7.75
Jul.2023,7.75
Ago.2023,7.75
Sep.2023,7.5
Oct.2023,7.25
Nov.2023,7
Dic.2023,6.75
Ene.2024,6.5
Feb.2024,6.25
Mar.2024,6.25
Abr.2024,6
May.2024,5.75
Jun.2024,5.75
Jul.2024,5.75
Ago.2024,5.5
Sep.2024,5.25
Oct.2024,5.25
Nov.2024,5
Dic.2024,5
Ene.2025,4.75
Feb.2025,4.75
Mar.2025,4.75
Abr.2025,4.75
May.2025,4.5
Jun.2025,4.5
Jul.2025,4.5
Ago.2025,4.5
Sep.2025,4.25
Oct.2025,4.25
Nov.2025,4.25
Dic.2025,4.25
Ene.2026,4.25
Feb.2026,4.25
Mar.2026,4.25
Abr.2026,4.25
May.2026,4.25
Jun.2026,4.25
Jul.2026,4.25
Ago.2026,4.25
