periodo,valor
Ene.2010,2.13333333333333
Feb.2010,2.20833333333333
Mar.2010,2.275
Abr.2010,2.5
May.2010,2.5
Jun.2010,2.5
Jul.2010,2.52083333333333
Ago.2010,2.56666666666667
Sep.2010,2.6625
Oct.2010,2.54166666666667
Nov.2010,2.49583333333333
Dic.2010,2.5
Ene.2011,2.86666666666667
Feb.2011,2.91666666666667
Mar.2011,3.075
Abr.2011,3.18333333333333
May.2011,3.23333333333333
Jun.2011,3.05
Jul.2011,2.93333333333333
Ago.2011,2.95
Sep.2011,2.825
Oct.2011,2.8
Nov.2011,2.88333333333333
Dic.2011,3
Ene.2012,2.82083333333333
Feb.2012,2.7
Mar.2012,2.7
Abr.2012,2.9
May.2012,3.03333333333333
Jun.2012,3
Jul.2012,2.85833333333333
Ago.2012,2.86666666666667
Sep.2012,2.85
Oct.2012,2.875
Nov.2012,2.725
Dic.2012,2.55
Ene.2013,2.59166666666667
Feb.2013,2.575
Mar.2013,2.5625
Abr.2013,2.48333333333333
May.2013,2.47916666666667
Jun.2013,2.5
Jul.2013,2.5125
Ago.2013,2.58333333333333
Sep.2013,2.7
Oct.2013,2.65833333333333
Nov.2013,2.63333333333333
Dic.2013,2.7
Ene.2014,2.64166666666667
Feb.2014,2.58333333333333
Mar.2014,2.6875
Abr.2014,2.75
May.2014,2.76666666666667
Jun.2014,2.825
Jul.2014,2.79583333333333
Ago.2014,2.88333333333333
Sep.2014,2.75
Oct.2014,2.7
Nov.2014,2.725
Dic.2014,2.6
Ene.2015,2.50416666666667
Feb.2015,2.5
Mar.2015,2.7125
Abr.2015,2.83333333333333
May.2015,2.81666666666667
Jun.2015,2.9
Jul.2015,3.03333333333333
Ago.2015,3.13333333333333
Sep.2015,3.35
Oct.2015,3.33333333333333
Nov.2015,3.29583333333333
Dic.2015,3.45
Ene.2016,3.44458333333333
Feb.2016,3.43333333333333
Mar.2016,3.35
Abr.2016,3.28333333333333
May.2016,3.24166666666667
Jun.2016,3.1625
Jul.2016,3.01458333333333
Ago.2016,2.76666666666667
Sep.2016,2.6625
Oct.2016,2.71
Nov.2016,2.90833333333333
Dic.2016,2.9
Ene.2017,2.90208333333333
Feb.2017,2.90833333333333
Mar.2017,2.9875
Abr.2017,3.06666666666667
May.2017,2.95458333333333
Jun.2017,2.8875
Jul.2017,2.78541666666667
Ago.2017,2.73333333333333
Sep.2017,2.80625
Oct.2017,2.6625
Nov.2017,2.475
Dic.2017,2.3
Ene.2018,2.225
Feb.2018,2.1875
Mar.2018,2.18125
Abr.2018,2.16666666666667
May.2018,2.21666666666667
Jun.2018,2.275
Jul.2018,2.32895833333333
Ago.2018,2.39166666666667
Sep.2018,2.4375
Oct.2018,2.43833333333333
Nov.2018,2.475
Dic.2018,2.5
Ene.2019,2.47708333333333
Feb.2019,2.4
Mar.2019,2.33
Abr.2019,2.38
May.2019,2.47083333333333
Jun.2019,2.475
Jul.2019,2.32291666666667
Ago.2019,2.3
Sep.2019,2.2125
Oct.2019,2.22916666666667
Nov.2019,2.18333333333333
Dic.2019,2.225
Ene.2020,2.04583333333333
Feb.2020,2.025
Mar.2020,2.01875
Abr.2020,1.50833333333333
May.2020,1.52083333333333
Jun.2020,1.4
Jul.2020,1.45833333333333
Ago.2020,1.56666666666667
Sep.2020,1.49375
Oct.2020,1.61666666666667
Nov.2020,1.68333333333333
Dic.2020,1.8475
Ene.2021,1.97708333333333
Feb.2021,2.10833333333333
Mar.2021,2.171875
Abr.2021,2.3
May.2021,2.42708333333333
Jun.2021,2.6
Jul.2021,3.025
Ago.2021,3.07333333333333
Sep.2021,3.6375
Oct.2021,3.61333333333333
Nov.2021,3.7125
Dic.2021,3.675
Ene.2022,3.72708333333333
Feb.2022,3.75
Mar.2022,4.3875
Abr.2022,4.61666666666667
May.2022,4.88541666666667
Jun.2022,5.35
Jul.2022,5.15625
Ago.2022,5.1
Sep.2022,4.89375
Oct.2022,4.78125
Nov.2022,4.68333333333333
Dic.2022,4.3
Ene.2023,4.62291666666666
Feb.2023,4.29166666666667
Mar.2023,4.3
Abr.2023,4.25
May.2023,4.2125
Jun.2023,3.825
Jul.2023,3.57291666666667
Ago.2023,3.35833333333333
Sep.2023,3.378125
Oct.2023,3.32916666666667
Nov.2023,3.14583333333333
Dic.2023,2.825
Ene.2024,2.6375
Feb.2024,2.64583333333333
Mar.2024,2.55625
Abr.2024,2.61666666666667
May.2024,2.55833333333333
Jun.2024,2.525
Jul.2024,2.48541666666667
Ago.2024,2.44166666666667
Sep.2024,2.425
Oct.2024,2.45416666666667
Nov.2024,2.44583333333333
Dic.2024,2.45
Ene.2025,2.36979166666667
Feb.2025,2.275
Mar.2025,2.275
Abr.2025,2.2875
May.2025,2.26666666666667
Jun.2025,2.275
Jul.2025,2.19166666666667
Ago.2025,2.18333333333333
Sep.2025,2.1625
Oct.2025,2.19166666666667
Nov.2025,2.1625
Dic.2025,2.125
Ene.2026,2.025
Feb.2026,2.1375
Mar.2026,2.51875
Abr.2026,2.81666666666667
May.2026,2.89166666666667
Jun.2026,2.825
Jul.2026,3.00875
Ago.2026,3.05
