periodo,valor
Ene.2010,-0.624217949029669
Feb.2010,-0.593367832718615
Mar.2010,0.223375972846349
Abr.2010,0.109628904615444
May.2010,0.302848568183746
Jun.2010,0.240553046828114
Jul.2010,0.0921863928734655
Ago.2010,0.417813401776244
Sep.2010,0.346544511100995
Oct.2010,0.252441797825235
Nov.2010,0.177543713601148
Dic.2010,-0.0884569017259834
Ene.2011,-0.0794187975191138
Feb.2011,-0.130999594357804
Mar.2011,-0.174645012109427
Abr.2011,-0.1602486408275
May.2011,-0.242560812659972
Jun.2011,-0.263768455638471
Jul.2011,-0.297453914839852
Ago.2011,-0.313619583958563
Sep.2011,-0.417950421181543
Oct.2011,-0.457858353617236
Nov.2011,-0.403966115637536
Dic.2011,-0.428043722153386
Ene.2012,-0.293013530553142
Feb.2012,-0.398712197031341
Mar.2012,-0.508736405970673
Abr.2012,-0.5303572160841
May.2012,-0.475541165509988
Jun.2012,-0.517864387623716
Jul.2012,-0.338976509869201
Ago.2012,-0.638116818894356
Sep.2012,-0.568089562171724
Oct.2012,-0.56809096837892
Nov.2012,-0.547365187843903
Dic.2012,-0.553795163058992
Ene.2013,-0.456936442196159
Feb.2013,-0.517436040609379
Mar.2013,-0.4804089763754
Abr.2013,-0.424889033543171
May.2013,-0.390136785193591
Jun.2013,-0.303743717310865
Jul.2013,-0.105838346498639
Ago.2013,-0.140780905907876
Sep.2013,-0.170793184083962
Oct.2013,-0.212019704840513
Nov.2013,-0.105094775530576
Dic.2013,0.0104458405232321
Ene.2014,0.0118188953191802
Feb.2014,0.137280129701388
Mar.2014,0.213756759219961
Abr.2014,0.391939003754039
May.2014,0.341945515205676
Jun.2014,0.352278947342076
Jul.2014,0.646550245675137
Ago.2014,0.714900597459039
Sep.2014,0.813415577694069
Oct.2014,0.735638107369965
Nov.2014,0.614543699311162
Dic.2014,0.566680983200609
Ene.2015,0.332850281980134
Feb.2015,0.238431565776479
Mar.2015,0.354297160815194
Abr.2015,0.37817406867434
May.2015,0.298788564444284
Jun.2015,0.260492228917815
Jul.2015,0.315856346606753
Ago.2015,0.261777470425516
Sep.2015,0.243897261885811
Oct.2015,0.183760996955697
Nov.2015,0.267926098862857
Dic.2015,0.426345531870833
Ene.2016,0.0923763300965257
Feb.2016,0.238431565776479
Mar.2016,0.117579724493183
Abr.2016,0.312925882862922
May.2016,0.37674046616541
Jun.2016,0.346862929943652
Jul.2016,0.259455093739879
Ago.2016,0.28082707442315
Sep.2016,0.202579996566722
Oct.2016,0.351203042764292
Nov.2016,0.491891210083895
Dic.2016,0.426345531870833
Ene.2017,0.603230713107494
Feb.2017,0.728178416953016
Mar.2017,0.631511501655985
Abr.2017,0.563538095865281
May.2017,0.731213573776634
Jun.2017,0.717973315267299
Jul.2017,0.626270122116517
Ago.2017,0.479473142453809
Sep.2017,0.515705948695879
Oct.2017,0.495697874101631
Nov.2017,0.31536613501465
Dic.2017,0.25396911156308
Ene.2018,3.19956593957451
Feb.2018,3.22531549615637
Mar.2018,3.15911058454115
Abr.2018,3.16616730643529
May.2018,3.06295370050246
Jun.2018,3.00638788534174
Jul.2018,3.11803700658335
Ago.2018,3.07531894951432
Sep.2018,3.0712651930353
Oct.2018,3.16650472851582
Nov.2018,3.14549336079682
Dic.2018,2.91886042514044
Ene.2019,3.02237445637565
Feb.2019,2.97971513450958
Mar.2019,2.91535422971024
Abr.2019,2.81385014547588
May.2019,2.93236775239511
Jun.2019,2.90124841710262
Jul.2019,2.91350622281356
Ago.2019,2.85399673395722
Sep.2019,2.84794161318448
Oct.2019,2.92481264019865
Nov.2019,2.92155969974521
Dic.2019,2.86993837602738
Ene.2020,2.75120112707914
Feb.2020,2.79371660712106
Mar.2020,2.42086488571386
Abr.2020,2.44398521591202
May.2020,2.24571299811357
Jun.2020,2.31114008393819
Jul.2020,2.31123064330654
Ago.2020,2.2983036432757
Sep.2020,2.56124453113733
Oct.2020,2.85945634506838
Nov.2020,3.16826568124887
Dic.2020,3.18066968327344
Ene.2021,3.34879856791626
Feb.2021,3.30493898932892
Mar.2021,3.21333940152973
Abr.2021,3.05945732845917
May.2021,2.98765886340299
Jun.2021,2.96980101308285
Jul.2021,2.94471944403977
Ago.2021,3.15851640750395
Sep.2021,3.03682549183183
Oct.2021,3.07833607483716
Nov.2021,3.12074107931978
Dic.2021,2.93592883968009
Ene.2022,3.2659470825537
Feb.2022,3.50254627207561
Mar.2022,3.42896668301083
Abr.2022,3.45511281509082
May.2022,3.60775342890017
Jun.2022,3.73166458390747
Jul.2022,3.67932161132954
Ago.2022,3.59873395583454
Sep.2022,3.43295939998831
Oct.2022,3.52475089999821
Nov.2022,3.46306130137748
Dic.2022,3.4449129839596
Ene.2023,3.59049289955324
Feb.2023,3.63536923074553
Mar.2023,3.57236769692202
Abr.2023,3.69848945735854
May.2023,3.83128605051405
Jun.2023,3.83413568655231
Jul.2023,3.93388904207346
Ago.2023,3.56175583269065
Sep.2023,3.64027495495126
Oct.2023,3.66712678049394
Nov.2023,3.57141970811428
Dic.2023,3.51413441593622
Ene.2024,3.66691779175957
Feb.2024,3.96106815330168
Mar.2024,4.01706596779468
Abr.2024,4.22730646234576
May.2024,4.26
Jun.2024,4.28
Jul.2024,4.20984382376119
Ago.2024,4.16341567974079
Sep.2024,4.13260501970389
Oct.2024,4.1145052396015
Nov.2024,3.96
Dic.2024,3.84
Ene.2025,3.88
Feb.2025,3.98
Mar.2025,3.92
Abr.2025,3.85
May.2025,3.78
Jun.2025,3.52
Jul.2025,3.54
Ago.2025,3.5
Sep.2025,3.52
Oct.2025,3.54
Nov.2025,3.47
Dic.2025,3.49
Ene.2026,3.46
Feb.2026,3.5
Mar.2026,3.31
Abr.2026,3.31
May.2026,3.24
Jun.2026,3.12
